id,finished,consent,country,country_analysis,aware_open_research,aware_study_preregistration,aware_registered_reports,aware_open_materials,aware_open_data,aware_open_code,aware_preprints,aware_open_peer_review,aware_open_access_publication,aware_replication_studies,aware_research_co_production,used_open_research,used_study_preregistration,used_registered_reports,used_open_materials,used_open_data,used_open_code,used_preprints,used_open_peer_review,used_open_access_publication,used_replication_studies,used_research_co_production
P1,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've not used this,I've not used this,NA,I've used this,I've used this,I've used this,Not applicable to my research,I've used this,I've used this,NA
P2,TRUE,Yes,Australia,Australia,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,NA
P3,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,NA
P4,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've used this,I've not used this,I've used this,I've not used this,NA
P5,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've not used this,I've used this,NA,I've used this,I've not used this,I've used this,I've not used this,I've not used this,I've not used this,I've not used this,I've not used this
P6,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've not used this,I've used this,I've used this,I've used this,I've not used this,I've not used this,I've used this,I've not used this,I've not used this
P7,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,I've used this,Not applicable to my research,I've used this
P8,TRUE,Yes,United Kingdom,United Kingdom,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,I'm aware of this,NA,I'm aware of this,I'm aware of this,NA,I've used this,I've used this,I've used this,I've not used this,I've not used this,Not applicable to my research,I've not used this,NA,I've used this,I've not used this,NA
P9,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA,NA,I've not used this,NA,NA
P10,TRUE,Yes,United Kingdom,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,I'm aware of this,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I've not used this,NA,NA
